       NNP   ,   CD   NNS   JJ   MD   VB   DT   NN   IN   .   VBZ   CC   VBD   VBN   RB   TO   PRP   RBR   VBG   WDT   VBP   RP   PRP$   JJS   POS   ``   EX   ''   WP   :   JJR   WRB   NNPS   $   FW   WP$   (   )   PDT   SYM   RBS   UH   LS   #
NNP   4706   0   34   19   132   0   8   5   116   2   0   7   0   4   5   2   0   2   0   5   0   0   0   0   0   0   0   0   0   0   0   0   0   38   0   28   0   0   0   0   0   0   0   0   0
,   0   2525   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
CD   40   0   1272   4   65   0   8   1   15   0   0   0   0   0   3   0   0   2   0   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
NNS   167   0   10   2436   36   0   2   0   264   0   0   8   0   0   14   3   0   0   0   11   0   0   0   0   0   0   0   0   0   0   0   0   0   12   0   4   0   0   0   0   0   0   0   0   0
JJ   151   0   29   12   2540   0   8   7   77   3   0   3   3   2   57   28   1   0   0   12   0   3   2   0   0   0   0   0   0   0   0   1   0   0   0   4   0   0   0   6   0   0   0   0   0
MD   0   0   0   0   0   405   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
VB   7   0   11   0   12   0   1082   0   19   0   0   0   0   1   8   1   0   0   0   11   0   26   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
DT   2   0   0   0   0   0   0   3946   3   11   0   0   3   0   0   8   0   0   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   0   0   0   11   0   0   1   0   0
NN   232   0   17   62   229   0   11   0   5503   1   0   7   2   4   8   2   0   3   0   32   0   9   0   0   0   0   0   0   0   0   0   0   0   0   0   11   0   0   0   0   0   0   0   0   0
IN   3   0   0   0   8   0   0   17   0   4727   0   0   2   1   0   55   2   0   0   2   6   1   21   0   0   0   0   0   0   0   0   0   0   0   0   6   0   0   0   0   1   0   0   0   0
.   0   0   0   0   0   0   0   0   0   0   1917   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
VBZ   16   0   3   26   10   0   5   0   16   0   0   1001   0   12   2   0   0   0   0   2   0   1   0   0   0   3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
CC   0   0   1   0   0   0   0   0   0   0   0   0   1135   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
